OBJECTID|TRIPTYPE|PROVIDERNAME|FAREAMOUNT|GRATUITYAMOUNT|SURCHARGEAMOUNT|EXTRAFAREAMOUNT|TOLLAMOUNT|TOTALAMOUNT|PAYMENTTYPE|ORIGINCITY|ORIGINSTATE|ORIGINZIP|DESTINATIONCITY|DESTINATIONSTATE|DESTINATIONZIP|MILEAGE|DURATION|ORIGIN_BLOCK_LATITUDE|ORIGIN_BLOCK_LONGITUDE|ORIGIN_BLOCKNAME|DESTINATION_BLOCK_LATITUDE|DESTINATION_BLOCK_LONGITUDE|DESTINATION_BLOCKNAME|AIRPORT|ORIGINDATETIME_TR|DESTINATIONDATETIME_TR
315|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 10:00|01/10/2015 10:00
316|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 14:00|01/10/2015 14:00
317|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/09/2015 18:00|01/09/2015 18:00
318|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/09/2015 23:00|01/09/2015 23:00
319|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 07:00|01/10/2015 07:00
320|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/09/2015 21:00|01/09/2015 21:00
321|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 05:00|01/10/2015 05:00
322|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 09:00|01/10/2015 09:00
323|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 05:00|01/10/2015 05:00
324|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 06:00|01/10/2015 06:00
325|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 09:00|01/10/2015 09:00
326|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 09:00|01/10/2015 09:00
327|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 09:00|01/10/2015 09:00
328|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 11:00|01/10/2015 11:00
329|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 13:00|01/10/2015 13:00
330|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 13:00|01/10/2015 13:00
331|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 13:00|01/10/2015 13:00
332|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 13:00|01/10/2015 13:00
333|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 15:00|01/10/2015 15:00
334|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 14:00|01/10/2015 14:00
335|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 16:00|01/10/2015 16:00
336|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 17:00|01/10/2015 17:00
337|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/10/2015 17:00|01/10/2015 17:00
338|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/11/2015 17:00|01/11/2015 17:00
339|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/11/2015 20:00|01/11/2015 20:00
340|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 11:00|01/13/2015 11:00
341|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 12:00|01/13/2015 12:00
342|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/13/2015 12:00|01/13/2015 12:00
