OBJECTID|TRIPTYPE|PROVIDERNAME|FAREAMOUNT|GRATUITYAMOUNT|SURCHARGEAMOUNT|EXTRAFAREAMOUNT|TOLLAMOUNT|TOTALAMOUNT|PAYMENTTYPE|ORIGINCITY|ORIGINSTATE|ORIGINZIP|DESTINATIONCITY|DESTINATIONSTATE|DESTINATIONZIP|MILEAGE|DURATION|ORIGIN_BLOCK_LATITUDE|ORIGIN_BLOCK_LONGITUDE|ORIGIN_BLOCKNAME|DESTINATION_BLOCK_LATITUDE|DESTINATION_BLOCK_LONGITUDE|DESTINATION_BLOCKNAME|AIRPORT|ORIGINDATETIME_TR|DESTINATIONDATETIME_TR
418|3|Yellow Cab|2.25|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20010|Washington|DC|20037|NULL|NULL|||||||N|01/09/2015 16:00|01/09/2015 16:00
419|3|Yellow Cab|29.45|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20037|Washington|DC|20012|NULL|NULL|||||||N|01/09/2015 17:00|01/09/2015 17:00
420|3|Yellow Cab|43.71|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20010|Washington|DC|20032|NULL|NULL|||||||N|01/09/2015 17:00|01/09/2015 18:00
421|3|Yellow Cab|24.43|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20002|NULL|NULL|00000|NULL|NULL|||||||N|01/09/2015 17:00|01/09/2015 18:00
422|3|Yellow Cab|28.45|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20010|Washington|DC|20032|NULL|NULL|||||||N|01/09/2015 18:00|01/09/2015 18:00
423|3|Yellow Cab|14.41|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|Washington|DC|20010|NULL|NULL|||||||N|01/09/2015 05:00|01/09/2015 06:00
424|3|Yellow Cab|12.25|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20010|NULL|NULL|00000|NULL|NULL|||||||N|01/09/2015 11:00|01/09/2015 11:00
425|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/15/2015 19:00|01/15/2015 19:00
426|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/15/2015 17:00|01/15/2015 17:00
427|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/15/2015 17:00|01/15/2015 17:00
428|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/15/2015 17:00|01/15/2015 17:00
429|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 09:00|01/16/2015 09:00
430|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 15:00|01/16/2015 15:00
431|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 04:00|01/16/2015 04:00
432|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 08:00|01/16/2015 08:00
433|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 09:00|01/16/2015 09:00
434|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 15:00|01/16/2015 15:00
435|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 04:00|01/16/2015 04:00
436|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 08:00|01/16/2015 08:00
437|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 06:00|01/16/2015 06:00
438|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 05:00|01/16/2015 05:00
439|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 06:00|01/16/2015 06:00
440|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 07:00|01/16/2015 07:00
441|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 08:00|01/16/2015 08:00
442|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 09:00|01/16/2015 09:00
443|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 09:00|01/16/2015 09:00
444|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 09:00|01/16/2015 09:00
445|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 09:00|01/16/2015 09:00
446|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 09:00|01/16/2015 09:00
447|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 13:00|01/16/2015 13:00
448|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 10:00|01/16/2015 10:00
449|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 11:00|01/16/2015 11:00
450|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 11:00|01/16/2015 11:00
451|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 11:00|01/16/2015 11:00
452|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 11:00|01/16/2015 11:00
453|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 12:00|01/16/2015 12:00
454|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 12:00|01/16/2015 12:00
455|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 14:00|01/16/2015 14:00
456|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 14:00|01/16/2015 14:00
457|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 16:00|01/16/2015 16:00
458|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 15:00|01/16/2015 15:00
459|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/16/2015 19:00|01/16/2015 19:00
460|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 08:00|01/17/2015 08:00
461|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 07:00|01/17/2015 07:00
462|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 05:00|01/17/2015 05:00
463|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 05:00|01/17/2015 05:00
464|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 08:00|01/17/2015 08:00
465|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 08:00|01/17/2015 08:00
466|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 09:00|01/17/2015 09:00
467|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 09:00|01/17/2015 09:00
468|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 09:00|01/17/2015 09:00
469|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 15:00|01/17/2015 15:00
470|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 11:00|01/17/2015 11:00
471|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 15:00|01/17/2015 15:00
472|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 14:00|01/17/2015 14:00
473|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 19:00|01/17/2015 19:00
474|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/17/2015 18:00|01/17/2015 18:00
475|3|Yellow Cab|20.62|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|Washington|DC|20001|NULL|NULL|||||||N|01/15/2015 09:00|01/15/2015 09:00
476|3|Yellow Cab|20.62|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|Washington|DC|20017|NULL|NULL|||||||N|01/15/2015 11:00|01/15/2015 11:00
477|3|Yellow Cab|22.24|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20001|Washington|DC|20019|NULL|NULL|||||||N|01/15/2015 14:00|01/15/2015 14:00
478|3|Yellow Cab|11.63|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20010|Washington|DC|20010|NULL|NULL|||||||N|01/15/2015 14:00|01/15/2015 14:00
479|3|Yellow Cab|11.71|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20002|Washington|DC|20003|NULL|NULL|||||||N|01/15/2015 15:00|01/15/2015 15:00
480|3|Yellow Cab|17.11|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20001|Washington|DC|20011|NULL|NULL|||||||N|01/15/2015 15:00|01/15/2015 15:00
481|3|Yellow Cab|NULL|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/15/2015 00:00|01/01/1900 00:00
482|3|Yellow Cab|22.14|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20017|NULL|NULL|00000|NULL|NULL|||||||N|01/15/2015 16:00|01/15/2015 16:00
483|3|Yellow Cab|11.36|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20010|Washington|DC|20010|NULL|NULL|||||||N|01/15/2015 17:00|01/15/2015 17:00
484|3|Yellow Cab|21.89|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20003|Washington|DC|20017|NULL|NULL|||||||N|01/15/2015 11:00|01/15/2015 11:00
485|3|Yellow Cab|21.43|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20017|Washington|DC|20003|NULL|NULL|||||||N|01/15/2015 15:00|01/15/2015 15:00
486|3|Yellow Cab|23.32|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20001|Washington|DC|20019|NULL|NULL|||||||N|01/15/2015 17:00|01/01/1900 18:00
487|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/18/2015 04:00|01/18/2015 04:00
488|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/18/2015 10:00|01/18/2015 10:00
489|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/18/2015 13:00|01/18/2015 13:00
490|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/18/2015 13:00|01/18/2015 13:00
491|3|Yellow Cab|28.18|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20010|Washington|DC|20020|NULL|NULL|||||||N|01/13/2015 10:00|01/13/2015 11:00
492|3|Yellow Cab|19.45|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20001|Washington|DC|20019|NULL|NULL|||||||N|01/13/2015 10:00|01/13/2015 11:00
493|3|Yellow Cab|22.97|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20003|Washington|DC|20017|NULL|NULL|||||||N|01/13/2015 14:00|01/13/2015 15:00
494|3|Yellow Cab|23.32|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20017|Washington|DC|20003|NULL|NULL|||||||N|01/13/2015 16:00|01/13/2015 17:00
495|3|Yellow Cab|10.09|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|Washington|DC|20018|NULL|NULL|||||||N|01/14/2015 05:00|01/14/2015 05:00
496|3|Yellow Cab|28.45|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|Washington|DC|20018|NULL|NULL|||||||N|01/14/2015 04:00|01/14/2015 05:00
497|3|Yellow Cab|10.63|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 08:00|01/14/2015 08:00
498|3|Yellow Cab|31.96|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20018|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 10:00|01/14/2015 11:00
499|3|Yellow Cab|13.06|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20018|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 11:00|01/14/2015 11:00
500|3|Yellow Cab|19.19|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20037|Washington|DC|20010|NULL|NULL|||||||N|01/14/2015 12:00|01/14/2015 12:00
501|3|Yellow Cab|25.48|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 12:00|01/14/2015 12:00
502|3|Yellow Cab|8.47|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20019|Washington|DC|20019|NULL|NULL|||||||N|01/14/2015 14:00|01/14/2015 14:00
503|3|Yellow Cab|25.21|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 15:00|01/14/2015 16:00
504|3|Yellow Cab|26.02|0.00|0.00|0.00|0.00|33.00|2|Washington|DC|20010|Washington|DC|20037|NULL|NULL|||||||N|01/14/2015 16:00|01/14/2015 16:00
505|3|Yellow Cab|13.60|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|Washington|DC|20018|NULL|NULL|||||||N|01/14/2015 05:00|01/14/2015 05:00
506|3|Yellow Cab|20.89|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|Washington|DC|20017|NULL|NULL|||||||N|01/14/2015 09:00|01/14/2015 09:00
507|3|Yellow Cab|14.33|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20020|Washington|DC|20019|NULL|NULL|||||||N|01/14/2015 09:00|01/14/2015 10:00
508|3|Yellow Cab|10.55|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20003|Washington|DC|20002|NULL|NULL|||||||N|01/14/2015 10:00|01/14/2015 10:00
509|3|Yellow Cab|16.03|0.00|0.00|0.00|0.00|33.00|4|Washington|DC|20018|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 10:00|01/14/2015 11:00
510|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 11:00|01/12/2015 11:00
511|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 10:00|01/12/2015 10:00
512|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 05:00|01/12/2015 05:00
513|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 09:00|01/12/2015 09:00
514|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 15:00|01/12/2015 15:00
515|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 09:00|01/12/2015 09:00
516|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 15:00|01/12/2015 15:00
517|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 09:00|01/12/2015 09:00
518|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 10:00|01/12/2015 10:00
519|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 04:00|01/12/2015 04:00
520|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 06:00|01/12/2015 06:00
521|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 05:00|01/12/2015 05:00
522|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 05:00|01/12/2015 05:00
523|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 08:00|01/12/2015 08:00
524|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 10:00|01/12/2015 10:00
525|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 10:00|01/12/2015 10:00
526|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 09:00|01/12/2015 09:00
527|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 10:00|01/12/2015 10:00
528|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 11:00|01/12/2015 11:00
529|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 14:00|01/12/2015 14:00
530|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 10:00|01/12/2015 10:00
531|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 12:00|01/12/2015 12:00
532|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 12:00|01/12/2015 12:00
533|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 12:00|01/12/2015 12:00
534|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 13:00|01/12/2015 13:00
535|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 13:00|01/12/2015 13:00
536|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 14:00|01/12/2015 14:00
537|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 15:00|01/12/2015 15:00
538|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 19:00|01/12/2015 19:00
539|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 15:00|01/12/2015 15:00
540|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 19:00|01/12/2015 19:00
541|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 15:00|01/12/2015 15:00
542|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 16:00|01/12/2015 16:00
543|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 19:00|01/12/2015 19:00
544|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/12/2015 16:00|01/12/2015 16:00
545|3|Yellow Cab|7.39|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|Washington|DC|20018|NULL|NULL|||||||N|01/09/2015 04:00|01/09/2015 04:00
546|3|Yellow Cab|10.63|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|Washington|DC|20018|NULL|NULL|||||||N|01/09/2015 04:00|01/09/2015 05:00
547|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 09:00|01/14/2015 09:00
548|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 09:00|01/14/2015 09:00
549|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 15:00|01/14/2015 15:00
550|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 06:00|01/14/2015 06:00
551|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 05:00|01/14/2015 05:00
552|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 06:00|01/14/2015 06:00
553|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 08:00|01/14/2015 08:00
554|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 09:00|01/14/2015 09:00
555|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 09:00|01/14/2015 09:00
556|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 10:00|01/14/2015 10:00
557|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 09:00|01/14/2015 09:00
558|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 09:00|01/14/2015 09:00
559|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 09:00|01/14/2015 09:00
560|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 13:00|01/14/2015 13:00
561|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 11:00|01/14/2015 11:00
562|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 11:00|01/14/2015 11:00
563|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 11:00|01/14/2015 11:00
564|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|4|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 15:00|01/14/2015 15:00
565|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 13:00|01/14/2015 13:00
566|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/14/2015 11:00|01/14/2015 11:00
